"CompanyID","Frequency","LastKnownValuation","Revenue","CompanyName","WebGrowthRate","PrimaryIndustrySector"
"265114-27",1,35.654546,3.507274,Avanseus,,Information Technology
"265876-75",1,,0.0,BeammWave,,Information Technology
"266407-84",1,99.6,,Nature's Remedy,,Materials and Resources
"266590-72",1,,0.434888,Talino Venture Studios,,Financial Services
"267407-56",1,1800.0,0.0,CinCor Pharma,,Healthcare
"267600-79",1,270.0,,Nym,,Information Technology
"268287-31",1,1.7857,,Nowpay,,Information Technology
"277485-67",2,,,Luggit,,Consumer Products and Services (B2C)
"277738-75",6,32500.0,22500.0,FTX,,Financial Services
"279988-21",1,,15.77104646,Talendi,,Business Products and Services (B2B)
"294516-37",1,7.40498904,,BluAge,,Consumer Products and Services (B2C)
"295151-32",1,,,Innodem Neurosciences,,Healthcare
"324882-91",1,34.0,,Insent,,Information Technology
"327122-92",1,379.0,0.0,Jasper Therapeutics,,Healthcare
"331976-35",1,77.37,,DeepMotion China,,Consumer Products and Services (B2C)
"338583-07",2,54.12133737,14.31991505,"3S Money",,Financial Services
"339814-54",1,64.94128571,,Snoop,,Information Technology
"342003-25",1,1.97623388,22.16918967,Moneymour,,Financial Services
"343088-02",1,7.5,110.45861936,WazirX,,Information Technology
"348036-49",1,84.1,40.0,Struxure,,Business Products and Services (B2B)
"399066-76",2,33.124944,100.0,RTFKT,,Consumer Products and Services (B2C)
"399588-58",1,,,Lite&Fog,,Materials and Resources
"399664-90",1,46.78,0.0,Movano,,Healthcare
"40737-16",1,1461.00777655,321.09813557,Capco Group,,Business Products and Services (B2B)
"41161-60",2,2000.0,600.0,Compuware,,Information Technology
"41251-42",2,1541.634888,734.4,Myriad Genetics,,Healthcare
"41299-57",1,15590.0,5598.367,SanDisk,,Information Technology
"41442-76",1,782.4,744.955,Lexar,,Information Technology
"41456-17",1,6700.0,0.054,Arena Pharmaceuticals,,Healthcare
"41579-29",4,715.789332,1270.0,ViewSonic,,Information Technology
"41647-24",1,4503.589077,48966.0,Plains Gp Holdings,,Business Products and Services (B2B)
"41949-28",8,75000.0,8706.0,Activision Blizzard,,Information Technology
"41960-26",1,2500.0,1370.0,Ticketmaster Entertainment,,Consumer Products and Services (B2C)
"41963-86",1,4242.0,643.145,Marvel Entertainment,,Consumer Products and Services (B2C)
"41980-15",1,720.537686,100.0,FPX,,Information Technology
"42070-78",1,660.0,142.824,Osiris Therapeutics,,Healthcare
"42112-45",1,2364.24879306,1584.87936133,MindTree,,Information Technology
"42534-10",1,,1000.0,Shop.com,,Consumer Products and Services (B2C)
"42704-83",1,1149.94,,Ardian,,Healthcare
"42737-77",1,,,KBI BioPharma,,Healthcare
"42831-37",1,680.0,28.0,NextWave Pharmaceuticals,,Healthcare
"42911-29",1,320.0,,A&W Restaurants,,Consumer Products and Services (B2C)
"43023-88",1,2275.28,0.0,Constellation Pharmaceuticals,,Healthcare
"43025-50",1,8.35897637,1773.78007022,Seven Generations Energy,,Energy
"43055-02",2,2123.0,331.387,Proterra,,Business Products and Services (B2B)
"43128-73",1,,,AMEE,,Business Products and Services (B2B)
"431652-43",1,2.5,,Theragnostics,,Healthcare
"432532-27",1,,,Validify,,Information Technology
"432762-40",1,25.0,,Dunk Island,,Business Products and Services (B2B)
"435055-60",1,,0.00004292,Tokocrypto,,Information Technology
"435494-44",1,,6.59,HKTaxi,,Consumer Products and Services (B2C)
"436230-46",1,,,Golisto,,Consumer Products and Services (B2C)
"436570-66",1,339.999991,,Infinium (Energy Production),,Energy
"437230-63",1,1971.44260995,,Britishvolt,,Information Technology
"437359-78",1,28.450001,,Presidio Identity,,Information Technology
"437362-48",1,,0.72887048,Reiwa,,Business Products and Services (B2B)
"438335-56",1,24.131945,,Fetcherr,,Information Technology
"441288-73",1,,467.84686872,So Energy,,Energy
"44506-99",1,14800.0,1231.42,Tableau Software,,Information Technology
"453433-24",1,5.99585153,,Bottleshot Brew,,Consumer Products and Services (B2C)
"457586-56",1,,,Spark Car Wash,,Consumer Products and Services (B2C)
"459035-02",2,16.58037422,,Savage Game Studios,,Information Technology
"459908-74",1,525.0,0.0,Anzu Special Acquisition Corp I,,Financial Services
"462832-12",1,,,Musicube,,Information Technology
"464515-75",1,2.7,,Pilates Metrics,,Healthcare
"465321-16",1,,,Switch Maritime,,Business Products and Services (B2B)
"465996-88",1,,,Riva Technology and Entertainment,,Information Technology
"466055-56",1,,0.10399355,Cereal Base CEBA,,Business Products and Services (B2B)
"466089-58",1,,,Pfizer (Manufacturing Plant at Thebarton),,Business Products and Services (B2B)
"467215-93",1,,,HelloFlow,,Information Technology
"470711-44",1,225.0,7.0,Laminar,,Information Technology
"48154-24",1,76.805694,17.0,GameFly,,Consumer Products and Services (B2C)
"481907-08",2,,29.274676,Borealis Foods,,Business Products and Services (B2B)
"482803-93",2,1700.0,4.6,Trump Media & Technology Group,,Information Technology
"483841-72",1,300.0,0.0,PROOF Acquisition I,,Financial Services
"493846-03",1,6.22889549,,WASD (Business/Productivity Software),,Information Technology
"495647-47",1,7.81841436,,Kato,,Information Technology
"499960-63",1,,,Acceleration Academies,,Consumer Products and Services (B2C)
"502833-61",1,,,Skip Therapeutics,,Healthcare
"509196-16",1,24.8851034,2.59313584,BrightBid,,Information Technology
"50982-94",2,2100.0,1315.504,Fitbit,,Consumer Products and Services (B2C)
"51006-61",1,800.0,850.0,Venmo,,Information Technology
"51079-69",1,,7.629371,iCoreConnect,,Information Technology
"51145-48",1,6101.0,522.921,Mandiant,,Information Technology
"51361-30",3,399.999997,40.0,Taulia,,Financial Services
"515171-98",1,,,Zhongrong Smart Finance,,Information Technology
"51755-50",3,3.33208896,,Wavemaker Partners,,Financial Services
"519075-82",1,,,Stearman Resources,,Materials and Resources
"52127-74",1,13.830489,6.1,Humble Bundle,,Information Technology
"52155-82",1,114.99086644,4999.99999982,Worldpay AP,,Information Technology
"52225-57",2,3333.33,2122.55944009,Supercell,,Information Technology
"52266-70",1,53.743594,134.552,AeroSafe Global,,Business Products and Services (B2B)
"52284-25",1,,6.12858868,Clari5,,Information Technology
"52792-66",1,16.706499,4.3,Bandcamp,,Consumer Products and Services (B2C)
"52807-60",2,678.0,,Amazon Robotics,,Business Products and Services (B2B)
"52883-11",5,1175.0,1000.0,Crunchyroll,,Consumer Products and Services (B2C)
"52904-08",1,23.0,,TechRepublic,,Business Products and Services (B2B)
"52960-15",1,644.122,,Nginx,,Information Technology
"529610-32",1,,,Nextbite,,Business Products and Services (B2B)
"53006-77",2,302.242584,20.55,Hookipa Pharma,,Healthcare
"53015-50",1,1135.42,82.873,Dermira,,Healthcare
"530948-44",1,,,Pitbulls,,Information Technology
"53385-40",1,20.7,,Active Health Management,,Healthcare
"535262-86",2,,,Medicovestor,,Healthcare
"535436-47",1,,,UBAI,,Information Technology
"53559-28",1,3.2,,BaroFold,,Healthcare
"53594-74",26,842.0,2800.0,Twitch Interactive,,Information Technology
"53660-89",1,192.0,493.0,Viator,,Business Products and Services (B2B)
"537239-53",2,,,Quatre Lab,,Healthcare
"53746-21",1,,660.0,Compugen (Canada),,Information Technology
"537507-10",4,,,ApeCoin,,Information Technology
"537864-13",1,,,WakeZ,,Healthcare
"538964-74",1,,,Lightstruck,,Information Technology
"539065-36",1,,,Perseus Materials,,Business Products and Services (B2B)
"53914-51",1,1420.0,12100.0,QVC,,Consumer Products and Services (B2C)
"53927-38",1,48.0,96.0,Radiancy,,Healthcare
"539363-71",1,,,Fibmold Packaging,,Materials and Resources
"539408-35",1,7.000001,,Responsiv,,Information Technology
"539808-85",8,19.500001,,Lasso Security,,Information Technology
"539864-02",1,,,Layer Health,,Healthcare
"53988-58",1,1000.0,240.0,Dollar Shave Club,,Consumer Products and Services (B2C)
"539926-03",1,,,Nicole Bryl Skincare,,Consumer Products and Services (B2C)
"539946-19",1,,,Blocksmith&Co.,,Information Technology
"540006-94",1,,,Taproot Wizards,,Information Technology
"54021-43",1,468.06076,1000.0,Zoho Corporation,,Information Technology
"54058-51",2,4062.5,4310.872,Franchise Group,,Consumer Products and Services (B2C)
"540697-06",1,,,Tolbi,,Information Technology
"540715-51",2,,,Fork N Knife,,Consumer Products and Services (B2C)
"540715-87",4,,,Hanto,,Business Products and Services (B2B)
"540747-55",1,,,Hangtianlidian,,Business Products and Services (B2B)
"540756-37",1,,,Mhaya,,Consumer Products and Services (B2C)
"540759-79",4,,,Zerve (Software Development Applications),,Information Technology
"54080-02",1,2600.0,1200.0,Beats Electronics,,Consumer Products and Services (B2C)
"54284-77",1,2685.05916346,409.39457939,Jana Small Finance Bank,,Financial Services
"54520-57",1,5700.0,39.3,Broadcast.com,,Consumer Products and Services (B2C)
"54525-52",4,7500.0,1000.0,GitHub,,Information Technology
"54614-35",1,,6.43045463,Genedata,,Healthcare
"54783-37",1,700.3,1000.0,Plarium Global,,Information Technology
"55066-42",1,,44.23806765,Applifier,,Information Technology
"55172-26",1,,10.0,Madras Global,,Business Products and Services (B2B)
"55233-28",1,70.2980163,109.71665031,Sport1,,Consumer Products and Services (B2C)
"55258-48",44,17193.0,906.0,WhatsApp,,Information Technology
"55296-01",1,40.53174705,141.62332976,Ekinops,,Information Technology
"55300-06",14,875.0,3200.0,Tinder,,Information Technology
"55337-41",2,,26.7,ParkMobile,,Consumer Products and Services (B2C)
"55362-16",2,624.999983,83.0,Welltok,,Healthcare
"55384-12",1,96.97351506,1.16274492,Metalysis,,Materials and Resources
"55440-64",2,,,The Indiana Rail Road,,Business Products and Services (B2B)
"55445-41",1,490.0,1000.0,Tubi,,Consumer Products and Services (B2C)
"55497-16",3,2311.32862874,93.34129415,Mainstream Renewable Power,,Energy
"55606-78",1,3787.57504773,709.3389746,Western Coal,,Materials and Resources
"55824-40",6,214.18478808,251.59136341,Leeds United Football Club,,Consumer Products and Services (B2C)
"55912-33",1,300.0,10.607598,HotSchedules (Acquired),,Information Technology
"56035-09",8,1271.63833372,306.42831571,MorphoSys,,Healthcare
"56417-32",2,169.0,54.6,Volta Charging,,Energy
"56437-57",1,7200.0,559.038,GW Pharmaceuticals,,Healthcare
"56504-89",2,150.0,2000.0,Athleta,,Consumer Products and Services (B2C)
"56510-56",2,,6.6701946,Surface Transforms,,Business Products and Services (B2B)
"56564-74",2,,1.8718685,Airtag,,Information Technology
"56572-57",1,,104.43434824,Juvise Pharmaceuticals,,Healthcare
"56650-15",1,5889.20187641,2358.20053998,Yoox Net-a-Porter Group,,Consumer Products and Services (B2C)
"56734-57",1,24.50682683,,Bawat,,Business Products and Services (B2B)
"56942-38",1,5.0,7.5,Mic Network,,Consumer Products and Services (B2C)
"57068-92",1,,,IDTechEx,,Business Products and Services (B2B)
"57078-64",1,155.95794331,15.49456414,Paion,,Healthcare
"57127-96",1,753.0,1261.68371692,PillPack,,Consumer Products and Services (B2C)
"57186-73",1,11.12390558,,Audio Processing Technology,,Consumer Products and Services (B2C)
"57201-13",1,20.73023327,14.39528499,Grupo Apex,,Consumer Products and Services (B2C)
"57242-80",1,133.57090867,43.02658892,Novagali Pharma,,Healthcare
"57277-72",1,0.333333,1.16175519,AnsuR,,Information Technology
"57320-02",1,195.882612,0.0,Protagonist Therapeutics,,Healthcare
"57499-12",2,,,Catheter Precision,,Healthcare
"57512-62",1,2000.0,,Meta Quest,,Information Technology
"57678-94",1,,35.0,SteelOrbis Elektronik Pazaryeri,,Business Products and Services (B2B)
"57708-82",1,,15.0,Replicon,,Information Technology
"57853-18",2,,,Creative Industries,,Business Products and Services (B2B)
"57961-99",1,71300.0,31037.0,"21st Century Fox",,Consumer Products and Services (B2C)
"58212-10",2,1185.42417869,311.93275661,BrewDog,,Consumer Products and Services (B2C)
"58625-29",1,30.28025502,53.33496991,Xercise4Less,,Consumer Products and Services (B2C)
"58784-23",1,,,CogniFit,,Consumer Products and Services (B2C)
"59057-74",1,48.852882,,Market Realist,,Business Products and Services (B2B)
"59188-78",1,,,TCTi,,Healthcare
"59205-34",3,1200.0,2.22222222,Circle Health Group,,Healthcare
"59855-41",1,584.7466664,-0.00000076,Integra Gold,,Materials and Resources
"60063-22",1,4772.0,69.878,Spark Therapeutics,,Healthcare
"60226-93",1,,164.05239,CardCash,,Financial Services
"60328-27",1,115.0,,Jukin Media,,Business Products and Services (B2B)
"60385-33",1,300.0,1384.50634423,Axis Communications,,Information Technology
"60738-76",3,,,Kaleido (Therapeutic Devices),,Healthcare
"60887-17",2,650.0,1331.95296934,DeepMind,,Business Products and Services (B2B)
"61161-58",1,,,WLAN,,Information Technology
"61897-06",1,,11.0,MetLife Pet Insurance,,Financial Services
"62902-81",1,30.14840407,21.53607541,Bewakoof,,Consumer Products and Services (B2C)
"63370-00",1,164.70588,165.78824376,Akatsuki,,Information Technology
"63453-07",2,,,Interview,,Information Technology
"63803-80",1,,,Performance Trust Capital Partners,,Financial Services
"63935-02",2,21.52714404,37.87275328,Yourgene Health,,Healthcare
"64266-58",1,32.70659027,288.45471762,Rue du Commerce,,Consumer Products and Services (B2C)
"64514-53",2,21.36226246,,BookMyForex,,Information Technology
"65360-71",1,299.77676094,559.46135887,Senco Gold & Diamonds,,Consumer Products and Services (B2C)
"66007-63",23,0.5,50.0,CoinDesk,,Consumer Products and Services (B2C)
"66225-16",1,324.0,1700.0,Pluto TV,,Consumer Products and Services (B2C)
"66226-87",2,26.100001,37.3,Vydia,,Information Technology
"81858-88",1,41.15956071,5.2,AgriWebb,,Information Technology
"82597-60",1,,112.413922,Alienware,,Information Technology
"86743-00",2,1.19722375,0.63084186,Voog,,Information Technology
"87325-57",1,343.7915734,48.45043754,Gohenry,,Information Technology
"87333-49",3,,,Grammy Foundation,,Business Products and Services (B2B)
"88530-04",2,34.179902,0.00195,HeartSciences,,Healthcare
"89297-92",1,904.63762478,160.19506195,Glovo,,Consumer Products and Services (B2C)
"90200-08",2,,17.93867162,Lunit,,Healthcare
"91593-01",1,,469.98456347,Limango,,Consumer Products and Services (B2C)
"91667-35",1,1147.14663894,19.09512955,Signavio,,Information Technology
"94327-66",1,,19438.43372876,UNIQLO Company,,Consumer Products and Services (B2C)
"95052-52",2,,22.02289137,Sygic,,Consumer Products and Services (B2C)
"96965-56",4,66.60634898,39.08891004,Libération,,Consumer Products and Services (B2C)
"97041-88",1,447.953817,142.71094919,Uzabase,,Information Technology
"97041-97",1,43.0,1.0,Tickeron,,Information Technology
"97056-91",1,24.0,,Osmosis (Education and Training Services),,Business Products and Services (B2B)
"97124-41",8,,,Webinar,,Information Technology
"98172-73",1,518.43,68.0,PrecisionLender,,Information Technology
"99850-24",12,,,KIMS Alshifa Super Specialty Hospital,,Healthcare
"265746-34",1,308.000002,117000.0,Threads,-15.54,Information Technology
"512305-03",1,173.999999,,Tessell,-13.18,Information Technology
"25159-06",2,351.749375,2269.188,Extra Space Storage,-12.07,Business Products and Services (B2B)
"41376-70",2,156.816486,306.565,Amerisafe,-11.08,Financial Services
"55789-57",1,,50.0,SHE Media,-10.83,Business Products and Services (B2B)
"437913-91",1,,,Papercups,-9.96,Information Technology
"149608-63",2,625.404366,0.617,Freeline Therapeutics,-9.7,Healthcare
"503988-40",1,5.07288675,,Ababa,-9.46,Business Products and Services (B2B)
"179610-22",4,,,Swift Current Energy,-8.27,Energy
"460330-21",4,15.000007,,Coinvise,-7.99,Financial Services
"469282-15",7,2470.000131,,WorldCoin,-7.88,Information Technology
"56938-33",3,79.0579067,3.07584334,Eliq,-7.75,Information Technology
"54417-16",1,,232.076,Travere Therapeutics,-7.71,Healthcare
"59712-31",2,,75.623113,HIVE Digital Technologies,-7.55,Information Technology
"493241-05",1,,,ApeX (New York),-7.34,Information Technology
"43060-87",1,239.051587,16424.28122508,JinkoSolar Holding,-7.29,Energy
"268109-11",1,,,Powder,-6.88,Information Technology
"435961-72",1,486.980938,534.529,GigaCloud Logistics,-6.84,Business Products and Services (B2B)
"60140-26",1,51.55949186,305.65980396,Tarena International,-6.69,Consumer Products and Services (B2C)
"13105-99",1,,2138.52440038,FPT (IT Consulting and Outsourcing),-6.66,Information Technology
"99127-09",1,,2.77,Hammerspace,-6.58,Information Technology
"52709-14",1,187.3,25.0,Metabolon,-6.48,Healthcare
"90723-97",3,365.73353,0.0,Kodiak Sciences,-6.4,Healthcare
"231678-91",1,21.999997,,Shrimpy,-6.22,Financial Services
"520752-70",1,,,Masters' Union,-6.19,Consumer Products and Services (B2C)
"355045-33",1,,,Southwoods Health,-6.07,Healthcare
"454625-38",1,,16.75,SushiSwap,-5.79,Information Technology
"41036-41",1,,3741.38413768,Philippine Long Distance Telephone,-5.73,Information Technology
"438598-90",1,60.799998,,Bikayi,-5.53,Information Technology
"510405-13",6,6.82748585,,UP (Household Appliances),-5.53,Consumer Products and Services (B2C)
"42015-61",2,,14415.61459399,NetEase,-5.51,Information Technology
"84032-11",4,100.0,29.48,Exostar,-5.27,Information Technology
"235298-89",3,400.0,,Conflux Network,-5.26,Information Technology
"53956-36",1,45.0,0.0,Armata Pharmaceuticals,-5.24,Healthcare
"458649-28",1,240.000001,,Imprint (Financial Software),-5.07,Information Technology
"10501-57",1,1045.5,1581.56,Bed Bath & Beyond,-4.95,Consumer Products and Services (B2C)
"492978-61",3,2350.000138,,Aptos Labs,-4.86,Information Technology
"100191-79",1,653.775287,513.45001496,Zepp Health,-4.85,Healthcare
"124314-22",1,120.0,,ThreatX,-4.83,Information Technology
"225914-05",1,77.999992,,Ingenious.Build,-4.73,Information Technology
"222474-61",1,,201.32939347,Jackery,-4.68,Energy
"149504-14",532,85000.0,1000.0,OpenAI,-4.66,Information Technology
"227304-64",1,2122.683138,0.186,Allogene Therapeutics,-4.65,Healthcare
"469801-36",1,,,Gantry,-4.62,Information Technology
"232664-95",1,,,VICTION,-4.55,Information Technology
"490041-82",1,,,VVS Finance,-4.52,Financial Services
"59984-11",1,116.94141016,994.25695613,Future (Media),-4.45,Consumer Products and Services (B2C)
"54127-99",1,1812.0,81.724,SomaLogic,-4.44,Healthcare
"101114-11",1,377.0,29.07819203,DDC Enterprise,-4.38,Information Technology
"226755-73",2,1556.0,0.519,Canoo,-4.38,Consumer Products and Services (B2C)
"13286-98",2,379.999997,100.0,Sojern,-4.36,Information Technology
"300265-21",1,29.99188288,,Deazy,-4.34,Information Technology
"438306-76",2,0.2519869,1.31006969,Statiq (Automotive),-4.31,Consumer Products and Services (B2C)
"227394-10",1,12.0,4.21767777,Ampleforth,-4.28,Information Technology
"55915-84",1,,,Syxsense,-4.28,Information Technology
"13129-39",1,213.07224,29.507,Stereotaxis,-4.27,Healthcare
"528209-02",3,,,TALESUNESS,-4.23,Energy
"12410-92",1,198.259376,112.524,Harvard Bioscience,-4.22,Healthcare
"154599-22",1,1174.999998,,DailyPay,-4.21,Information Technology
"227524-78",4,,,MIT Technology Review China,-4.18,Consumer Products and Services (B2C)
"63116-29",2,500.0,58.50952357,Bitstamp,-4.16,Information Technology
"54118-36",1,520.726545,608.177,Magnite,-4.14,Information Technology
"50933-89",2,,170.0,OpenX,-4.13,Business Products and Services (B2B)
"113958-01",9,980.0,,Bizongo,-4.12,Information Technology
"234749-26",1,,1.02061811,CoinLoan,-4.08,Financial Services
"64039-60",1,1470.96448862,176.81757521,Appier,-4.06,Business Products and Services (B2B)
"498027-43",1,,,Summer (Real Estate Services),-4.01,Consumer Products and Services (B2C)
"228618-37",1,4.94445099,,Rocket Pool,-3.99,Information Technology
